customer_id,start_day,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,future_redemptions
11085496,wednesday,verifyselffunded,gap,session100,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11086588,wednesday,session200,session0,gap,gap,gap,gap,session0,session100,gap,gap,gap,gap,gap,gap,0
11091984,wednesday,session200,gap,gap,gap,gap,gap,session100,session0,gap,session0,gap,gap,gap,gap,0
11094481,wednesday,session500,session100,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11095384,wednesday,session100,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11096388,wednesday,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11097580,wednesday,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11098473,thursday,session300,gap,session300,gap,gap,gap,session200,gap,gap,gap,gap,gap,gap,gap,0
11098598,thursday,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11098976,thursday,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11102889,thursday,session500,gap,gap,gap,gap,gap,gap,gap,session300,gap,gap,gap,gap,gap,0
11103278,thursday,engageselffunded,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11106898,thursday,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11110493,thursday,engagefunded,session300,gap,session100,gap,gap,session1000,session3600,gap,gap,gap,gap,gap,gap,0
11111683,friday,engagefunded,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11114992,friday,verifyfunded,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11116683,friday,session100,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11118477,friday,engagefunded,session300,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11119193,friday,gap,gap,session200,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11119590,friday,engagefunded,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11121386,friday,engageselffunded,session200,gap,session0,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11122895,friday,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11123798,friday,session100,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11129293,saturday,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11134779,saturday,gap,gap,gap,gap,gap,gap,session100,gap,gap,gap,gap,gap,gap,gap,0
11136379,saturday,engagefunded,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11137594,sunday,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11148974,sunday,session800,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11149079,sunday,engagefunded,gap,gap,gap,gap,gap,gap,session300,gap,gap,gap,gap,gap,gap,0
11150171,sunday,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11150580,sunday,gap,gap,gap,gap,gap,gap,session100,gap,gap,gap,gap,gap,gap,gap,0
11152374,sunday,session100,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11153978,monday,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11154175,monday,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11110190,thursday,engagefunded,gap,gap,session0,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11147390,sunday,session300,session100,session800,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11148871,sunday,engagefunded,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11156188,monday,session400,gap,gap,gap,gap,gap,gap,gap,session0,gap,gap,gap,gap,gap,0
11114196,friday,engageselffunded,gap,gap,verifyselffunded,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11157387,monday,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11155879,monday,verifyselffunded,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11126389,saturday,gap,gap,session100,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11159799,monday,engagefunded,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11164499,monday,engageselffunded,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11165792,monday,session100,session0,session200,session0,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11167081,tuesday,session200,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11168393,tuesday,session1700,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11171971,tuesday,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
11172297,tuesday,session3600,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,0
